group_concat(distinct phonetic separator ', ')	group_concat(distinct gardiner separator ', ')	group_concat(distinct definition separator ', ')	group_concat(distinct notes separator ', ')
aAi	D36-D36-D21-Z1-A1, D36-D36-M17-A2, O29, O29-D36-G1-Y1, O29-D36-Y1, O29-Y1, O29V-G1-Y1V	caller, great of quality, great of size, great, plentiful, much, rich, senior, jabber	NULL
aAm	O29-D36-G1-G17-T14-A1, O29-D36-G17-T14-A13, O31-G17-A40, T14-G17-A1, T14-G17-A13, T14-G17-N63A	Asiatic, throwstick	NULL
aAmt	O31-G17-X1-B1	Asiatic woman	NULL
aany	D36-D36-N35-Z4-A24, D36-D36-N35-Z4-O1	camp, coop up, confine ?	NULL
aApp	O29-Q3-Q3-I103	Apep	divinity
aAt	O29-D36-G1-X1-Y1, O29-D36-X1, O29-D52-N41-X1-E7, O29-X1, O29-X1-H8, O29-X1-N33, O29-X1-O39, O29-X1-W10, O29-X1-Z5-V1	a great thing, costly stone, metal, female ass, female donkey, linen cloth, metal, stone vessel	NULL
AAtA	G1-G1-X1-G1-D40-A14	Nubian chieftain ?	NULL
AAw	D36-D36-Z7-A2, G1-D36-G43-F27, G1-D36-G43-Q6, O29, O29-D36-G1-G43-Y1, O29-D36-G1-Y1	container, container for papyri, flutter of heart, greatly	NULL
aAwt	O29-X1-N33-W2-W9-W7	stone vessels	plural
aawy	D36-D36-G43-D6, D36-D36-G43-Z4-D5, D36-D36-G43-Z4-D7D	sleep	verb and noun
aAwy r	O29-D36-G43-Z4-O31-O31-D21-Z1, O31-O31-D21-Z1	the two leaves of the door	NULL
aAwy rwy	O29-D36-G43-Z4-O31-O31-D21-Z4A-M17-M17-M3	the two leaves of the door	NULL
aAy	O29-D36-M17-M17-Y1-Z2, O29-O29-O29	excess over, difference in mathematical	NULL
ab	D36-D58-F16, D36-D58-F16-Y1-Z2, D36-D58-F16-Z1, D36-W10-D58, F16-Z1, U23-D58-D54	avoid, cease, horn, meal, tarry, stray, unite, unite, present	verb intransitive, verb transitive
abA	D36-D58-D36-A2, D36-D58-D36-F16-A2, D36-D58-D36-F16-Y1, D36-D58-G1-S42-O39, D36-D58-G29-AA81, D36-D58-G29-G1-S42-D40, D36-D58-G29-S42, D36-D58-G29-S42-D40, D36-D58-G29A-G1-Q37, D36-D58-O39, D36-D58-S42-N8, D36-D58-S42-O39, D36-D58-S42-Y1, D36-G29-R30, D36-G29-S42, D58-D36-D36-Y1, D59-F16, S42-D58-Y1V, S42-Z1, S42-Z1-O39	boast, boasting, exageration, boast, boasting, exaggeration, command a ship, glitter, make presentation to, offering - stone, offering-stone, present one's hands in ritual gesture, present to, present to, make presentation, provide, provide with, sceptre	NULL
abab	D36-D58-D36-D58, D36-D58-D36-D58-W10-Y1, D59-D59-N21, U23-D58-U23-D58-A2	appear ?, shine ?, be delighted, become excited ?, threshold ?	NULL
ababyt	D36-D58-D36-D58-M17-M17-X1	region of collar-bone	NULL
abb	D36-D58-D58-D40, D36-D58-D58-F16-D42	knock on door ?, use the pitchfork	NULL
Abd	N11, N11-N14-D46-N5-Z1, N11-N14-D46-W4, N11-N14-D46-X4	month, monthly festival	NULL
AbDw	N26-U23-O49, R15-D58-N26-G43-K1, U23-D58-N26-G43-K1-Z1, U23-D58-N26-O49, U23-N26-N24	a fish, Abydos	locality
abH	D36-D58-V28-W24a, M17-D58-V28-D36	fill up	NULL
Abi	R15-D58, U23-D58-A2	desire, wish for	verb
abS	D36-D58-N37-W21, D36-D58-N37-W59	wine - jar, wine jar	NULL
abt	D36-D58-X1-F16-Y1, D36-X1-D58-H8, U23-D58-X1-S24, U23-D58-X1-S24-A1-B1-Z2, U23-D58-X1-T30-A1-B1-Z2, U23-D58-X1-Y3-T30, U23-D58-X1-Y4-S15	a funerary ritual object, attachment, connections, brand, family	collective noun, noun
Abw	D36-D58-F16-A14-Z2, D36-D58-G43-F17, D36-D58-G43-F17-Y1-Z2, D36-D58-G43-Y1-Z2, D36-D60-G43, D59-F17, F17-G43, F17-Y1-Z2, F17-Z2, R15-D58-G43-N33A-T19, S24-O49, U23-D58-E26-G43-W6-N25, U23-D58-G43-D54, U23-D58-G43-E26, U23-D58-G43-F18, U23-D58-G43-Q7, U23-D58-G43-T19, U23-D58-G43-T30, U23-D58-S24-O49, U23-D58-T19, U23-D58-W6-N25, U23-D58-Z7-AA2-N25, U23-G43-E26, U23-G43-O49, U23-W6-D58	brand slaves, cattle, brand, scorch, cessation, elephant, Elephantine, impurity, ivory, offerings, purification, purification, purity, purity, victims	locality
abw r	D36-F17-D58-G43-Y1-Z2-D21-Z1, F16-Y1-Z2-D21-Z1-Z8-Z2, F17-Z1-D21	breakfast	NULL
abwt	D36-D58-G43-X1-O30U, D36-D58-G43-Z5, D36-D58-X1-O30U	forked staff, lettuce, staff of office	NULL
Abx	G1-D58-AA1, U23-AA1-D58-Z9-Y1, U23-D58-AA1-D36	join a god, link arms, unite, mix, link, mingle, be merged, engage	verb transitive
abxn	D36-D58-AA1-N35-F27	frog	NULL
Aby	E24, U23-D58-E24, U23-D58-M17-M17-E24, U23-D58-M17-M17-F27	panther	NULL
Ad	D36-I10-V26-M3, D36-I10-V26-W24-Z2, D36-I10-V26-Y1, D36-I10-V27, D36-I10-V27B-N23, D36-V26-D46-M3, G1-D46-AA2, G1-D46-D54, G1-D46-I3, V26-D46-O39, V26-D46-U7-A24, V26-D46-U7-D40, V26-D46-W24-Z2, V26-D46-Y1, V26-D46-Y1V, V26-D46-Z4-N33-Z2, V26-I10-A24, V26-I10-N23-Z1, V26-I10-O39-Z2, V26-N23, V26-W24-Z2, V26-Y1, V26-Z1-M3	be safe, be safe, become whole, be savage, be aggressive, be angry, attack,anger, decay, edge, margin of cultivation, fat, grease, fatten ?, hack up, destroy, perceive, quiver, palpitate, spool, reel	NULL
aD mr	D36-I10-U7-D40-N36, K3-N36, V26-D46-U7-D40-N36	administrator	NULL
aD wDA	D36-I10-V26-Y1-G43-U28-G1-Y1V	prosperous & flourishing of affairs, safe & sound of persons	NULL
aDA	D36-U28-G1-D40-A1	guilty man, wrongdoer	NULL
aDAw	D36-U28-G1-D40, D36-U28-G1-Z7-A24	guilt, guilty, guilt	noun
aDnt	D36-I10-N35-X1-AA8, D36-I10-N35-X1-W10	armband, armlet, crucible ?	NULL
aDt	D36-I10-X1-T30-Z2, D36-V27-I10-X1-A2, G1-D46-X1-Y1-A24, G1-D46-X1-Z5-A24, V27-X1-A15A	offence ?, prepare, prepare a sleeping place, slaughter, massacre	NULL
Adw	D36-D46-G43-K1-Z1, D36-D46-G43-K3-Z1, D36-I10-V26-N26, G1-D46-G43-D36-A1, G1-D46-G43-I3-A1, G1-X1-I3, V26-D46-Z7-K1-Z1	aggressor, Buri fish	NULL
aDyw	V26-I10-M17-M17-Z7-A24	winnowers	NULL
af	D36-I9	his command	NULL
afA	D36-I9-G1-D40, D36-I9-G1-F51B, G1-I9-D36-E28, G1-I9-D36-E28-A1	devour ?, tear off, devour, tear off, glutton, gluttony	NULL
afAy	D36-I9-G1-M17-M17-O1, D36-I9-G1-Z4-M2-Z2	encampment, sweet clover ?	NULL
afd	D36-I9-D46-Y1, G1-I9-D46-D56	lead to, attractive ?, part of animal leg	verb and adjective
afDt	D36-I9-D46-X1-Q6, D36-I9-X1-I10-Q6	chest, chest furniture	NULL
aff	D36-I9-I9-G39, D36-I9-I9-L2, D36-I9-I9-L3, G39-Z1	buzz of insect, fly, fly insect	noun
afn	D36-I9-N35-A24-Y1, D36-I9-N35-Y1-T67	cover	verb
afnt	D36-I9-N35-X1-S28, D36-I9-N35-X1-S57B, D36-I9-N35-X1-Z5	royal head - cloth, royal head-cloth	NULL
Afry	G1-I9-D21-M17-M17-Q7	boil	verb
aftt	D36-I9-X1-X1	female brewer	NULL
afty	A36-X1-Z4-A24, A37-X1-Z4, D36-I9-X1-A36, D36-I9-X1-Z4A-A417	brewer	NULL
afy	D36-I9-Z4-L2	bee, honey bee	NULL
agn	D36-W11-N35-W78	pedestal for vase	NULL
agt	D36-W11-X1-N33A	a resinous varnish ?	NULL
agwt	D36-W11-G43-X1-N33-Z2, D36-W11-X1-M33A	a preparation of grain	NULL
AH	D36-V28-T24E, D36-V28-T24E-D40, D36-V28-V1, G1-V28-N18-Z2, M17-V28-T24, M17-V28-T24E, M17-V28-V1, O11-D36-O1, O11-O1, O12-O1, V28-G1-X4, V28-G1-Z8	bread, entrap, snare, palace, temple, rope, type of bread, wipe off, wipe away	NULL
AH Hwt	G1-V28-U6-O6-X1-O1	tomb - shaft	NULL
aHA	D34, D34-A24, D34-G1-A24, D34-G1-K1, D36-V28-G1, M17-V28-G1-D36, M17-V28-G1-D40, P6, P6-D36, P6-D36-D54, P6-D36-M35, P6-W24-Z1, P6-Z1, P6-Z1-O39	attendant, fight, fight,, fish lates niloticus, heap, portion, allotment, quantity mathematics, wealth, riches, measure for beer, portion, allotment, stand, stand, stand by, stand erect, raise oneself , stand up, rise up, arise, attend, wait, lifetime, stela, warrior, weapons of war	noun
aHA a	D34-A24-D36-Z1	go to war	NULL
aHA Hr	D34-A24-D2-Z1	be wary of	NULL
aHA mri	D34-A24-U7-D21-M17-M3	ply the sounding pole	NULL
aHA mw	D34-A24-N35A-M3, D34-A24-N35A-N34-Z1	sounding - pole, sounding pole	NULL
aHA Tn	D34-G1-A24-V13-N35	take care	NULL
aHA Tw	D34-G1-A24-V13-G43	take care	NULL
aHAt	D34-G1-X1-O1, D34-X1, D34-X1-A1-Z3, D34-X1-P1, P6-D36-X1-Z2, P6-M17-M17-X1, P6-X1-Z1-F51	battleground, Female Attendant, ships, spinal ridge, warriors, warship	NULL
aHAw	D34-G1-G43-T11B, D34-G43-T11, D34-T11B-Z1, D36-P6-A21-G43, D36-P6-D36-G43, I114, P6-D36-D54, P6-D36-G43-D54-Z2, P6-D36-G43-N5-Z1, P6-D36-G43-P1-Z1-Z2, P6-D36-G43-Y1-Z2, P6-D36-N5-Z1, P6-D36-Z7, P6-D54-Z2, P6-G43-N5-N23-Z1, P6-G43-N5-N36, P6-I114, P6-Y1-Z2, P7-G43-A40, P7-G43-P2-Z2, P7-Z8-Z2, X7-X7-X7	arrow, weapons, arrows, weapons, attendance, service, attending, ceremonial stations of persons, heaps, lifetime, period, space of time, portions, allotments, positions of things, ceremonial stations of persons, proper positions of things, ships, stand - by, helper, tombs	plural
aHAwty	D34-G1-Z7-X1-Z4-A24, D34-X1-G43-A12, D34-X1-Z4-G43-D40	warrior	NULL
Ahd	G1-O4-D46-A2, G1-O4-D46-G37	be weak, quiver, palpitate, be weak	NULL
Ahmt	G1-O4-AA5-X1-G37-Z2	sorrow	NULL
AHt	G1-V28-X1-N23, T24-X1-Z2	farm land, field, arable land, earth, mound	NULL
Ahw	G1-O4-AA2-G37, G1-O4-G37, G1-O4-G43-G37, G1-O4-Z7-G37-A1, M17-O4-AA2-G37, M17-O4-C7-Z5, M17-O4-G37, M17-O4-Z7-G37-Z2	illness, misery, trouble, misery, trouble, injury, pain, illness, pain, sufferer	NULL
AHwt	V28-G1-X1-N21-Z2	fields, arable lands, earth, mould	plural
aHwty	M17-V28-G43-X1-Z1-Z1-A1, M17-V28-G43-X1-Z4A-A1, M2-X1-Z4, T24-X1-A1, T24-X1-N23-A1	cultivator	NULL
aHwtyw	T24-G43-G4-D40-Z2	cultivators	plural
Ahy	G1-O4-M17-M17-D54, G1-V28-M17-M17-N35A	descend, wave flood	NULL
ain	D36-N35-D4	eye	NULL
Ais	G1-S29-AA2, M17-S29-AA2	viscera	NULL
Aiw	G1-M17-Z7-P5	windy ?	NULL
Ak	G1-V31-D36	be bent of elbow	NULL
Akr	G1-V31-D21-E128	Aker, the earth, earth-gods	divinity
Akrw	G1-V31-D21-A40-Z3, G1-V31-D21-G7-N33A, G1-V31-D21-I14-Z2	earth - gods	NULL
Am	D36-G17-A2, D36-G17-F10-A2, F10, G1-G17-Q7	burn, burn up, know, swallow, swallow, breathe in, absorb, know	NULL
am ib	D36-G17-F10-A2-F34-Z1	become faint, neglect, be discreet, regret,dissemble	NULL
ama	D36-G17-D36-A24, G1-G17-D36-G38	a perching bird, smear	NULL
amaA	D36-G17-D36-G1-T15	throw the throw - stick	NULL
amaAt	D36-G17-D36-G1-X1-T15, D36-G17-G1-X1-M3	throw - stick, throw-stick	NULL
amam	D36-G17-D36-G17-AA20, D36-G17-D36-G17-D51-D40	container for bread etc.., smear	NULL
amamw	D36-G17-D36-G17-Z7-F27-Z1	shrew	NULL
amat	D36-G17-D36-X1-N23-Z2, G1-G17-D36-G43-X1-D40, G1-G17-D36-X1-D36, G1-G17-D36-X1-D40	mud, muddy ground, mud-flat, ramus of jaw, fork of bone, hinged bone	NULL
Ami	G1-W19-M17-A24	mix	NULL
Amm	D36-G17-G17-H8, G1-G17-G17-D49	brain, seize, grasp, attack	NULL
Ammt	G1-G17-G17-X1-D49	grasp, fist	NULL
Ammw	G1-G17-G17-G43-D36-Z2	gripings medical	NULL
Ams	G1-F31-S29-G37-Z2, G1-F31-S29-S44	club, mace, wield the Ams, falsehood	variant of iwms
an	D36-N35-D5-Y1, D36-N35-D5-Y1-A1, D36-N35-D7, D36-N35-D8, D36-N35-D8-Y1	beautiful, beautiful, bright of face, pleasing, be kind,magnificent, the pleasant man	noun
anan	D36-N35-D36-N35-A2, D36-N35-D36-N35-F51	chin, complain, complaint	NULL
anay	D36-N35-D36-M17-M17-A2	complain, complaint	NULL
anb	D36-N35-D58-M2	reed - stalk for matting	NULL
anbyt	D36-N35-D58-M17-M17-X1-M2	measure for reed-stalks	NULL
and	D36-N35-D46-G37, D36-N35-D46-W23-N33-N33-N33, D36-N35-I10-W23-Z1-N33A	an unguent, few, scarcity, fewness, be diminished, unguent	NULL
andt	D36-N35-D46-X1-G37	the few of people	NULL
anDw	D36-N35-D46-G43-N2, D36-N35-D46-G43-N5, D36-N35-I10-N49, D36-N35-N26-G43-N8, D36-N35-N26-Z7-W24	dawn, jar	NULL
anH	D36-N35-G21-D13	eyebrow	NULL
ann	D36-N35-N35-D54, D36-N35-N35-D55	turn back, turn back, repeat again, come back, return,bring back	verb
annt	D36-N35-N35-F114-F114-X1	rump	NULL
anqt	D36-N35-N29-X1-B7C	Anukis	NULL
ant	D36-N35-X1-D51, D36-N35-X1-S21, D36-N35-X1-U19A, D36-N35-X1-U20	finger/toe nail, claw, nail of finger or toe, pick, ring of gold, socket for jar	noun
antyw	D36-N35-G4-N33A, D36-N35-G4-W23-Z2, D36-N35-X1-G4-W40	myrrh	NULL
anw	D36-N35-W24-G43-D7, D36-W24-D8A, W24-D36-D8	Ainu ? source of Limestone, Ainu a source of Limestone	locality
anx	S34, S34-A223, S34-A223-D40, S34-M2, S34-N35-AA1, S34-N35-AA1-A1, S34-N35-AA1-A2, S34-N35-AA1-L1, S34-V12-Z1-Z8, S34-Z1, S34-Z1-M2, S34-Z1-N34, S34-Z1-V12	beetle, captive, garland, live, life, mirror, person, sandal strap, swear, swear, oath	NULL
anx n mSa	S34-N35-AA1-N35-A12-A1-Z2	private soldier	NULL
anx tAwy	S34-N35-AA1-N16-N16-N23-N23	Memphis	NULL
anx wDA snb	S34-U28-S29	may he live, be prosperous & healthy	NULL
anxt	E31, S34-D10, S34-N35-AA1-X1-D10, S34-N35-AA1-X1-E31, S34-N35-AA1-X1-U9-Z2, S34-N35-AA1-X1-X1-U9, S34-N35-AA1-X1-Z8-Z2	corn, eye of deity, goat	NULL
anxw	S34-G43-Z2, S34-N35-AA1-G43-Z4, S34-N35-AA1-O39-Z2, S34-S34-S34, S34-Z3	blocks of alabaster, the living	NULL
anxwy	S34-S34-F21-F21	ears	NULL
any	D36-N35-Z4-M3	writing - board	NULL
Apd	G1-Q3-D46-D54, G1-Q3-D46-G38, G39, H1	duck, bird, duck, bird in general, rush forward	used in offering formula
ApH	G1-Q3-V28-Z5	swine, pigs	collective noun
api	D36-Q3-D54, D36-Q3-H5A	fly, traverse a waterway, pass by	NULL
apnnt	D36-Q3-N35-N35-F27, D36-Q3-N35-N35-X1-I14C, Q3-D36-N35-N35-X1-I14	slug, slug ?	NULL
apr	AA20-D21-Y1, D36-Q3-D21-AA20-Y1, D36-Q3-D21-Y1, D36-Q3-G43-D21-Z1, D36-Q3-Y1	an Asiatic people, provide, equip with, man a vessel, aquire, incur injury, provide, equip, acquire, incur, man a vessel	NULL
aprt	AA 20-D21-X1-W22, D36-Q3-D21-X1- AA20-W22, D36-Q3-D21-X1- AA20-Y1-Z2	a type of jar, equipment of offerings, type of jar	NULL
aprw	AA20- AA20- AA20-A1-A1-A1, AA20-D21-G43, AA20-D21-G43-A1-Z2, AA20-D21-G43-Y1-Z2, AA20-D21-N33A, AA20-G43-N33A, D36-Q3-D21-G43-AA20-A1-Z2	equipment, jewellery, sailors, sailors, workmen	NULL
apSAy	D36-Q3-M8-G1-M17-M17-L1	beetle	NULL
apy	D36-Q3-M17-M17-N58	the Winged Disk	NULL
aq	D36-N29-D54, G1-N29-G37, G35, G35-D54, G35-N29-D54	enter into, enter, charge, come in, have the entree, set of sun, run aground, be noticed, perish, come to grief	NULL
aq ib	G35-N29-D54-F34-Z1, G35-N29-D54-F34-Z1-A1, G35-N29-Y1-F34-Z1	become intimate, intimate friend	NULL
aq pr	G35-N29-D54-O1-D21-D54	come in & go out, come & go	NULL
aq r	G35-N29-D54-D21-Z1-A1	one over-familiar in speech ?	NULL
aq r pr	G35-N29-D54-D21-O1-Z1	wedding	NULL
aqA	D36-N29-D50-D50-Y1V, D36-N29-G1, D36-N29-G1-D50-D50-V1-Z1, D36-N29-G1-D50-D50-Y1, D36-N29-G1-V1	a type of rope, precise, accurate, precise, accurate, go straight forward,progress,, stright-dealing, straight-forwardness, use aright, use aright, correct, straightness, exact sense	adjective, verb transitive
aqA ib	D36-N29-G1-D50-D50-Y1V-F34-Z1	straightforward	NULL
aqAy	D36-N29-G1-M17-M17-D50-D50-Y1	a straight-dealer	NULL
aqAyt	D36-N29-G1-M17-M17-X1-D50-D50-Y1, D36-N29-G1-X1-D50-D50	true balancing	NULL
Aqd	G1-N29-D46-N14-A40	a star	NULL
AqHw	G1-N29-V28-G43-T7A	battle-axe	NULL
Aqs	G1-N29-S29-V6	a type of garment	NULL
Aqw	G1-N29-G37, G1-N29-Z7-G37-Z2, G35-G43-Z8-Z2, G35-N29-D54-A1-B1-Z2, G35-N29-X4-Z2, G35-N29-Z7-Z8-Z2	friends, loaves, provisions, food, income, revenue, misfortune, provisions, food, ruin, misfortune	NULL
aqyt	G35-M17-M17-X1, G35-X1	female servant	NULL
Ar	D36-D21-M2, D36-D21-N31, D36-D21-N31-D54, D36-D21-Z4-M2, G1-D21-T12-A24, G1-M17-D21-T12-A24, M17-D21-T12-D40, M17-D36-D21-N31	drive away, drive away from, drive away, oppress, mount up, mount up, ascend, mount up, ascend, extend, penetrate, oppress the poor, reed pen	NULL
arar	D36-D21-D36-D21-F51	chin ?	NULL
arf	D36-D21-I9-D49, D36-D21-I9-V33, D36-D21-I9-V33-D40, D36-D21-I9-V37-D40, V33	bag, bag, combine, enclose, contain, combine, enclose	noun, verb
arq	D36-D21-N29-O22-Y1V, D36-D21-N29-V12, D36-D21-N29-V12-V19-Z1, D36-D21-N29-V12-Y1, O22, V12-N29, V12-N29-A2	basket ?, bent, don a garment, know, perceive, gain full knowledge of, be wise, skilled, know, perceive, gain full knowledge of, be wise, skilled in, swear	NULL
arq ib	V12-N29-Y1-F34-Z1	clever	NULL
arqy	D36-D21-N29-M17-M17-V12-Z1, D36-D21-N29-O22-N5, D36-V12-M17-M17-N5, O180-M17-M17-N5, V12-M17-M17-N5, V12-N29-M17-M17-N5	last day of the month	NULL
arrwt	D36-D21-D21-G43-X1-O38, D36-D21-D21-G43-X1-Q38, D36-D21-D21-M17-M17-X1-O1, D36-D21-M17-M17-X1-M3, D36-D21-M17-M17-X1-O1, D36-D21-M17-M17-X1-O39	gate, leaf of double door, lintel	NULL
arryt	D36-D21-D36-M17-M17-X1-O1	hall of judgement	NULL
art	D36-D21-X1-F19, D36-D21-X1-F22, D36-D21-X1-F51B, D36-D21-X1-M2, D36-D21-X1-V12-Z1, G1-D21-X1-N1	heaven, sky, hinder part, hindquarter, jaw, jaw, hinder parts of man, anus, roll of papyrus, roll of papyrus, leather	NULL
artyw	D36-D21-G4-N31-D54	they who ascend ?	NULL
arw	D36-D21-N31, D36-D21-Z7-N31-Z2	proximity	NULL
aryt	D36-D21-M17-M17-X1-O38-M3, G1-D21-M17-M17-X1-S43	dwelling, home, staff	NULL
As	AA2-M1, D36-G1-D36-N37-A2, D36-N37-A2, D36-N37-AA2, D36-N37-AA2-A2, D36-N37-AA2-W1, D36-N37-M41, D36-N37-W24-W24-W24-M41, G1-N37-Z7-W22-Z2, G1-O34-V2-D54, G1-S29-AA2, G1-S29-G41, G1-S29-V2-D54, G1-S29-V2-D54-X4-Z2, M17-D36-N37-A2	a type of cake, bread, a type of drink, act as pilot, bald, viscera, bald-headed vulture, cedar, cedar - oil, groan, hurry, flow fast, hasten, overtake, quickly, pilot, summon	variant of iAs and Ais, verb and adverb
As Ast	G1-S29-X1-F51	testicles	NULL
aS HAt	M17-D36-N37-A2-F4-X1	act as pilot	NULL
aSA	D36-N37-G1-AA2, D36-N37-G1-I1, D36-N37-I1, I1, I1-G1-Z2, I1-G229, I1-Z2	dove ?, lizard, many, numerous, much, plentiful, ordinary, often, many, numerous, much, plentiful, ordinary, quantity, multitude, obnoxious ?, quantity, multitude	NULL
aSA r	I1-G1-Z2-D21-Z1, I1-Z2-D21-Z1-A2	chatter, chatter, be loquacious	NULL
aSA xrw	I1-G1-Z2-AA1-D21-E23-G43-P8-A2, I1-G1-Z2-P8-Z7-A2	noisy	NULL
aSaS	D36-N37-D36-N37-F10-F51	voicebox, larynx	NULL
aSAt	I1-G1-X1-A1-Z2, I1-X1-A1-B1-Z2, I1-X1-Z2, O29-X1-Z5-N37-Z2	many, numerous, multitude of people, company of guests, the many, the masses, multitude of persons, the many, the masses	adjective
Asb	G1-O34-D58-F3, G1-S29-D58-Q7	fierce, glowing of radiance, fierce, glowing of radience	NULL
Asbyw	G1-S29-D58-M17-M17-G43-Q7-Z3	flames	NULL
aSm	D36-N37-G17-G7	image of god	NULL
ASr	G1-N37-D21-F51, G1-N37-D21-Q7	roast, roast, roast meat, a roast	NULL
ASrt	G1-N37-D21-X1-F51, G1-O34-D21-X1-N1	heaven, sky, roast joint	NULL
Ast	G1-Q1-X1-B1, H8-X1-B1, Q1-X1-B1, Q1-X1-G7	Isis, Isis goddess	divinity
aSty	D36-N37-X1-Z4A	abundant	NULL
Asx	G1-O34-AA1-U2-D40, G1-S29-AA1-D36, G1-S29-AA1-U1, G1-S29-AA1-U2	reap, sickle	NULL
At	D36-X1, D36-X1-F51, D36-X1-O1, F3-X1-N5, G1, G1-V13-B5D, G1-V13-M17-M17-B5, G1-X1-F9, G1-X1-F9-N5, G1-X1-M17-M17-X1-D56-B1, G1-X1-N5, G1-X1-N5-Z1, G1-X1-Z5-N5, M17-G1-X1-F9-N5	house, limb, member of body, moment, instant, time, moment, instant, time in general, nurse, room, chamber, house, striking-power	noun, verb
at bnrt	D36-X1-O1-M30-X1-N33-N33A	cake room	NULL
at Dsrt	D36-X1-O1-D45-D21-X1-Y1	the Holy Chamber the celestial Hall of judgement	NULL
at Hnqt	D36-X1-V28-N29-X1	brew-house	NULL
at iwf	D36-X1-M17-I9-F51	slaughter-house	NULL
at nt xt	D36-X1-N35-X1-M3-X1-Z1-O1	orchard	NULL
at sbA	D36-X1-O1-S29-D58-N14, D36-X1-O1-S29-D58-N14-G1-A24	school, school, school - house	NULL
at t	D36-X1-X1-X3	bake-house	NULL
Atf	G1-X1-I9-F7D	be crowned	NULL
Atfw	G1-X1-I9-G43-F7, G1-X1-I9-G43-S8, G1-X1-I9-S8-Z2, S8	Atef crown, Atef-crown	NULL
ATp	A9-A24, G1-V13-Q3-A9, G1-X1-Q3-A125-D40, G1-X1-Q3-A9, G1-X1-Q3-A9-M3	be heavy laden with trouble, coffer, load a ship, load, be laden	NULL
Atpw	A9-Q3-Z7-Y1-Z2, A9-Z7-Y1-Z2, G1-X1-Q3-G43-A9-A24	cargo, load, cargo	noun
Atpwt	G1-X1-Q3-G43-X1-A9-D40-Z2, G1-X1-Q3-M17-M17-X1-A9	cargo, load, cargo	NULL
ATwt	G1-U33-M17-Z7-X1-M3, G1-V13-G43-X1-M3, G1-V13-X1-Q18	bed	NULL
atx	D36-X1-AA1-A24, M17-X1-AA1	strain, strain mash etc	NULL
atxw	D36-X1-AA1-Z7-W22-A24-A1-Z2	brewers	NULL
aty	D36-X1-Z4-F51-F51	intervertebral joints	NULL
ATyt	G1-V13-M17-M17-X1-B5D, G1-X1-M17-M17-X1-D56-B1	nurse	NULL
Aw	D36-S25, F40-G43, F40-G43-D41, F40-G43-Y1, F40-G43-Y1-Z2, F40-Y1, F40-Z7-Z6, S25, S25-G43-A2	death, dragoman, length of space, long of space, time, long, length of space, time	adjective, noun
